student_id;subject;result
1;math;84
1;english;48
1;science;54
1;biology;97
1;geography;90
1;history;58
1;lo;99
1;it;62
1;pe;100
2;math;63
2;english;57
2;science;72
2;biology;85
2;geography;48
2;history;87
2;lo;61
2;it;64
2;pe;95
3;math;72
3;english;54
3;science;68
3;biology;53
3;geography;67
3;history;90
3;lo;76
3;it;87
3;pe;41
4;math;56
4;english;43
4;science;44
4;biology;61
4;geography;99
4;history;99
4;lo;70
4;it;78
4;pe;80
5;math;63
5;english;58
5;science;76
5;biology;66
5;geography;65
5;history;46
5;lo;68
5;it;81
5;pe;89
6;math;81
6;english;62
6;science;43
6;biology;88
6;geography;71
6;history;51
6;lo;49
6;it;70
6;pe;40
7;math;65
7;english;46
7;science;77
7;biology;91
7;geography;100
7;history;87
7;lo;53
7;it;86
7;pe;88
8;math;56
8;english;67
8;science;40
8;biology;45
8;geography;64
8;history;49
8;lo;41
8;it;75
8;pe;70
9;math;54
9;english;61
9;science;81
9;biology;84
9;geography;43
9;history;48
9;lo;65
9;it;43
9;pe;45
10;math;52
10;english;47
10;science;60
10;biology;76
10;geography;74
10;history;55
10;lo;68
10;it;59
10;pe;55
11;math;64
11;english;47
11;science;84
11;biology;75
11;geography;97
11;history;50
11;lo;77
11;it;65
11;pe;59
12;math;86
12;english;55
12;science;66
12;biology;94
12;geography;86
12;history;99
12;lo;51
12;it;89
12;pe;92
13;math;74
13;english;72
13;science;48
13;biology;82
13;geography;84
13;history;70
13;lo;77
13;it;93
13;pe;97
14;math;71
14;english;99
14;science;89
14;biology;96
14;geography;84
14;history;69
14;lo;67
14;it;90
14;pe;87
15;math;73
15;english;62
15;science;94
15;biology;98
15;geography;49
15;history;94
15;lo;73
15;it;74
15;pe;67
16;math;60
16;english;86
16;science;100
16;biology;62
16;geography;52
16;history;83
16;lo;73
16;it;66
16;pe;76
17;math;71
17;english;62
17;science;51
17;biology;60
17;geography;74
17;history;52
17;lo;93
17;it;96
17;pe;69
18;math;67
18;english;71
18;science;62
18;biology;46
18;geography;55
18;history;63
18;lo;68
18;it;100
18;pe;69
19;math;88
19;english;58
19;science;54
19;biology;98
19;geography;70
19;history;55
19;lo;57
19;it;51
19;pe;47
20;math;85
20;english;95
20;science;51
20;biology;93
20;geography;81
20;history;41
20;lo;66
20;it;68
20;pe;44
21;math;45
21;english;59
21;science;56
21;biology;65
21;geography;75
21;history;77
21;lo;97
21;it;45
21;pe;98
22;math;50
22;english;71
22;science;79
22;biology;45
22;geography;40
22;history;49
22;lo;59
22;it;86
22;pe;40
23;math;86
23;english;53
23;science;68
23;biology;91
23;geography;49
23;history;84
23;lo;52
23;it;71
23;pe;64
24;math;72
24;english;80
24;science;94
24;biology;52
24;geography;95
24;history;63
24;lo;47
24;it;76
24;pe;82
25;math;73
25;english;78
25;science;43
25;biology;49
